id,titulo,Categoria_humana,cat_tfidf,cat_embeddings,cat_embeddings_e5,cat_embeddings_bge_m3,cat_llm_llm_1b,cat_llm_llm_3b,cat_llm_llm_8b,cat_llm_mistral_base
117693697,Governo quer rever regime de avaliação dos funcionários públicos,administração publica,administração publica,administração publica,administração publica,administração publica,cultura,administração publica,administração publica,administração publica
119008632,"“Qualidade dos serviços públicos fica comprometida com saída de funcionários”, diz o PS/Açores",administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica
119327429,Salários na função pública,administração publica,administração publica,administração publica,administração publica,administração publica,desconhecido,administração publica,administração publica,administração publica
117538813,"Duarte Freitas no Conselho Consultivo -  A qualidade da despesa pública obriga a uma Administração Pública mais eficiente, ágil e produtiva""",administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica,administração publica
117277538,Setor Público - Loja do Cidadão 2G simplifica serviços administrativos do Estado,administração publica,administração publica,administração publica,habitação,administração publica,i&d e inovação,administração publica,administração publica,administração publica
119092724,Temos ____ funcionários públicos a mais,administração publica,administração publica,administração publica,administração publica,administração publica,agricultura e floresta,administração publica,administração publica,administração publica
119563198,Orçamento do Estado 2026 reforça investimento na conservação da natureza e ação climática,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,desconhecido,ambiente e clima,ambiente e clima,ambiente e clima
117592370,"82,3 milhões de euros para a transição climática e energética",ambiente e clima,ambiente e clima,infraestruturas,energia,infraestruturas,energia,energia,ambiente e clima,energia
117511694,Fundo ambiental,ambiente e clima,energia,ambiente e clima,energia,energia,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima
118161322,"2,7 milhões de euros para medidas de adaptação às alterações climáticas",ambiente e clima,ambiente e clima,ambiente e clima,território,ambiente e clima,desconhecido,ambiente e clima,ambiente e clima,ambiente e clima
118818328,"Peso da Régua investe mais de 2,4 milhões de euros na prevenção de cheias e adaptação às alterações climáticas",ambiente e clima,ambiente e clima,território,agricultura e floresta,ambiente e clima,território,administração publica,habitação,ambiente e clima
117292440,Alentejo 2030 com 5ME para apoiar conservação da natureza e biodiversidade,ambiente e clima,ambiente e clima,ambiente e clima,i&d e inovação,ambiente e clima,desconhecido,ambiente e clima,ambiente e clima,ambiente e clima
119278718,I&D - O Pegada 4.0 está a medir o impacto ambiental das práticas agrícolas,ambiente e clima,ambiente e clima,ambiente e clima,agricultura e floresta,ambiente e clima,ambiente e clima,i&d e inovação,i&d e inovação,agricultura e floresta
117524880,"CIÊNCIA DE CAMPO, PARA VINHAS MAIS RESILIENTES",ambiente e clima,ambiente e clima,agricultura e floresta,agricultura e floresta,agricultura e floresta,ambiente e clima,desconhecido,ambiente e clima,agricultura e floresta
118527554,mercados de carbono: e se poluir saísse caro?,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,economia,ambiente e clima,ambiente e clima
119905711,Opinião de José Valbom: O interior e a sustentabilidade ambiental,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima,ambiente e clima
119172159,CULTURA - Exposição com 60 obras inaugurada no multiusos Póvoa Arena,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura
119905597,"MÚSICA DE CÂMARA, MISTY FEST E A DÉCIMA EDIÇÃO DO SOM RISCADO, NO CINETEATRO LOULETANO",cultura,cultura,cultura,cultura,cultura,desconhecido,cultura,cultura,cultura
119924198,Exposição  As Artes nos Fundos Photographia Alliança e Casa Pelicano  patente no Museu dos Biscainhos,cultura,cultura,cultura,cultura,cultura,desconhecido,cultura,cultura,cultura
116990217,CULTURA - Abrantes: Inaugurado o Museu de Arte Contemporânea Charters de Almeida,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura
116589381,CAE de Vale de Cambra abre hoje as suas portas,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura
116818492,ANTIGO CINEMA DÁ LUGAR A RENOVADO ESPAÇO DE CULTURA - Vale de Cambra ganha nova sala de espetáculos,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura
117596591,"Arte, Cinema documental e Música",cultura,cultura,cultura,cultura,cultura,desconhecido,desconhecido,cultura,cultura
117040794,Viana do Alentejo: FICO - festival de ilustração e criatividade,cultura,cultura,cultura,cultura,agricultura e floresta,desconhecido,desporto,cultura,cultura
118593932,"Feira Internacional de Artesanato, Design e outras Artes entre os dias 4 e 7 de setembro",cultura,cultura,cultura,cultura,cultura,i&d e inovação,desporto,cultura,cultura
118361891,A ARTE E A CULTUR na comunicação das marcas,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura,cultura
119328435,NATO junta em Beja aviação militar e tecnologia inovadora,defesa,defesa,defesa,defesa,defesa,desconhecido,defesa,defesa,desconhecido
119338247,80 aviões no céu de Beja. Exercício da NATO treina operações,defesa,defesa,defesa,defesa,defesa,desconhecido,desporto,defesa,desconhecido
118781404,Exército vai ter dois batalhões de Engenharia de Combate até 2036,defesa,defesa,defesa,defesa,defesa,desconhecido,defesa,defesa,desconhecido
118128738,Lei de Programação Militar vai ser revista,defesa,defesa,defesa,defesa,defesa,habitação,justiça,defesa,desconhecido
117695551,"Dinamizar o ""recrutamento voluntário"", reforçar o investimento e promover a indústria de Defesa. As prioridades do Governo no setor militar",defesa,defesa,defesa,defesa,defesa,defesa,defesa,defesa,desconhecido
119803170,Investimento na Defesa,defesa,defesa,defesa,defesa,defesa,defesa,defesa,defesa,desconhecido
118050323,Viseu quer afirmar-se como polo estratégico na indústria da Defesa,defesa,defesa,defesa,i&d e inovação,i&d e inovação,defesa,defesa,defesa,desconhecido
117835685,Cimeira da NATO - Investimento em Defesa,defesa,defesa,relações internacionais,relações internacionais,relações internacionais,defesa,defesa,defesa,desconhecido
117601556,Viseu quer ser eixo estratégico para indústria da defesa,defesa,defesa,infraestruturas,defesa,agricultura e floresta,defesa,administração publica,defesa,desconhecido
117805416,Um militar da GNR e outro das forças especiais da Marinha colaboraram com milícia neonazi,defesa,defesa,defesa,defesa,defesa,agricultura e floresta,segurança,segurança,desconhecido
119910091,"SPORTING - ""TAMBÉM SEI CHUTAR EM FORÇA""",desporto,desporto,desporto,desporto,desporto,defesa,desporto,desporto,desporto
119732632,Sonho do Póvoa Andebol dura 30 minutos,desporto,desporto,desporto,desporto,desporto,desporto,desporto,desporto,desporto
118472505,CAMPEDELLI ARRANCA NA FRENTE DO RALI,desporto,desporto,desporto,desporto,transportes,desporto,desporto,desporto,desporto
117427360,DESPORTO - Rugby Clube de Santarém faz história e ganha novo campo,desporto,desporto,desporto,desporto,desporto,desporto,desporto,desporto,desporto
117522542,DESPORTO - Ex-internacional Carlos Resende assume Póvoa Andebol,desporto,desporto,desporto,desporto,desporto,desporto,desporto,desporto,desporto
118991530,Académico apresenta futebol de formação para a época 2025/26,desporto,desporto,desporto,desporto,desporto,habitação,desporto,desporto,desporto
118261765,Polémica em Chaves: Câmara deu 370 mil euros para obras num clube de futebol que teimam em não aparecer,desporto,desporto,cultura,agricultura e floresta,infraestruturas,desconhecido,administração publica,administração publica,desporto
117881122,QUATRO DISTINÇÕES NA REGIÃO - Municípios são amigos do desporto,desporto,desporto,território,agricultura e floresta,território,desporto,desporto,desporto,desporto
118186057,Famalicão - Gondifelos e Outiz ganham novas condições para a prática desportiva,desporto,administração publica,desporto,desporto,desporto,desporto,desporto,desporto,desporto
119261741,"No valor de 192.752,10 euros - CLUBE DESPORTIVO E RECREATIVO DE ÁGUAS DE MOURA COM EMPREITADA ADJUDICADA",desporto,desporto,desporto,infraestruturas,desporto,desporto,administração publica,desporto,desporto
116960074,Economia trava a fundo e inflação acelera,economia,economia,economia,economia,economia,economia,economia,economia,economia
119864892,"Produto Interno Bruto cresceu 2,4% no terceiro trimestre de 2025",economia,economia,economia,economia,economia,defesa,economia,economia,economia
119827973,"CIP prevê crescimento económico de 2,2% no terceiro trimestre mas alerta para a dependência do consumo privado",economia,infraestruturas,economia,economia,economia,economia,economia,economia,economia
119750985,FMI reviu em alta as previsões para o crescimento da economia portuguesa em 2026,economia,economia,economia,economia,economia,economia,economia,economia,economia
116964479,"Após forte subida, economia recua, arrastada pelo consumo e importações",economia,economia,economia,economia,economia,economia,economia,economia,economia
117765706,Desde 2005 que não se investia tão pouco nos países em desenvolvimento,economia,economia,economia,economia,economia,território,economia,economia,economia
118448744,"Crescimento do Produto Interno Bruto: Aumento de 1,9% em Termos Homólogos e 0,6% em Cadeia",economia,economia,economia,economia,economia,demografia,economia,economia,economia
118899198,"Economia - Rendas vão poder aumentar até 2,25% em 2026",economia,habitação,habitação,habitação,habitação,economia,economia,economia,economia
116610824,Empresas Exportadoras: A Chave do Sucesso para o Futuro da Economia,economia,economia,economia,agricultura e floresta,economia,i&d e inovação,economia,economia,economia
116610683,Fazer crescer o valor acrescentado das nossas exportações,economia,economia,economia,economia,economia,i&d e inovação,economia,economia,economia
119221528,Educação - Milhares de alunos começam o ano em contentores,educação e formação,educação e formação,educação e formação,infraestruturas,infraestruturas,educação e formação,educação e formação,educação e formação,educação e formação
117788218,"ENSINO, EMPREGO & FORMAÇÃO -  A educação pública não é o caos que, às vezes, querem pintar  - entrevista a João Costa",educação e formação,educação e formação,educação e formação,educação e formação,educação e formação,desconhecido,educação e formação,educação e formação,educação e formação
117434653,"Linha da Frente: ""Mestres do Ofício""",educação e formação,educação e formação,educação e formação,educação e formação,educação e formação,desconhecido,educação e formação,educação e formação,educação e formação
118014820,Ensino profissional é alternativa que abre portas para o mercado de trabalho sem fechar as do ensino superior,educação e formação,educação e formação,educação e formação,mar e pescas,educação e formação,cultura,educação e formação,educação e formação,educação e formação
118014778,Escola Profissional de Leiria com  forte conexão com o mercado de trabalho,educação e formação,educação e formação,educação e formação,educação e formação,educação e formação,energia,administração publica,educação e formação,educação e formação
119501987,Mais de 870 alunos ingressam nas Escolas Profissionais dos Açores distribuídos por 51 cursos,educação e formação,educação e formação,educação e formação,mar e pescas,educação e formação,desconhecido,habitação,educação e formação,educação e formação
119192344,NERSANT arranca com novas ações de Formação Pedagógica de Formadores em Torres Novas e Santarém,educação e formação,economia,educação e formação,educação e formação,educação e formação,desconhecido,educação e formação,educação e formação,educação e formação
117789914,Feira das Profissões no Agrupamento de Escolas Alexandre Herculano em Santarém,educação e formação,educação e formação,educação e formação,educação e formação,educação e formação,justiça,desporto,educação e formação,educação e formação
118251951,DESAFIOS DO ENSINO,educação e formação,educação e formação,educação e formação,educação e formação,educação e formação,cultura,educação e formação,educação e formação,educação e formação
116741961,UBI aposta na capacitação digital dos docentes para melhorar o ensino,educação e formação,educação e formação,educação e formação,educação e formação,educação e formação,desporto,educação e formação,educação e formação,educação e formação
118527607,"dossier sobre armazenamento de energia - armazenamento de energia renovável: aplicações, vantagens e diferenças entre centrais fotovoltaicas e sistemas de autoconsumo",energia,energia,energia,energia,energia,desconhecido,energia,energia,energia
118573995,Armazenar eletricidade: o desafio que se segue em Portugal,energia,energia,energia,energia,energia,energia,energia,energia,energia
119046203,Painéis fotovoltaicos no Porto da Figueira da Foz para poupar 80%,energia,ambiente e clima,energia,energia,energia,energia,energia,energia,energia
118168795,Portos da Figueira da Foz e de aveiro investem em energias renováveis,energia,ambiente e clima,energia,energia,energia,energia,energia,energia,energia
118301900,"Projecto de 8,5 milhões de euros - dstsolar constrói parque fotovoltaico de autoconsumo para a Lusosider",energia,energia,energia,energia,energia,energia,energia,energia,energia
119208215,EMPRESA INTERMUNICIPAL RECORRE À ENERGIA SOLAR - Resialentejo aposta na transição energética,energia,energia,energia,energia,energia,energia,energia,energia,energia
118283720,APOIO À PRODUÇÃO DE ENERGIA SOMA MAIS DE MIL PEDIDOS,energia,ambiente e clima,energia,energia,energia,economia,economia,economia,energia
119258086,Empresa aposta na produção de hidrogénio,energia,energia,energia,agricultura e floresta,infraestruturas,energia,transportes,economia,energia
116892174,"RESULTADOS - Poupados 2,7 milhões de euros em energia",energia,ambiente e clima,energia,energia,energia,energia,energia,energia,energia
116930101,PARQUES EÓLICO E SOLAR AVANÇAM POR 19 MILHÕES,energia,energia,energia,infraestruturas,energia,desconhecido,energia,energia,energia
119095915,Montemor-o-Velho consigna construção de moradias bifamiliares em Verride,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
119390141,"ÉVORA - Assinado aditamento ao acordo de colaboração que permite investimento de 67,1 milhões em Habitação",habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
117272281,"Câmara de Gondomar vai construir 125 casas em investimento de 14,5 milhões de euros",habitação,infraestruturas,habitação,habitação,habitação,habitação,habitação,habitação,habitação
117789736,"Bairro da Imaculada Conceição com investimento de 5,2 ME",habitação,energia,habitação,habitação,habitação,habitação,habitação,habitação,habitação
117441285,Fonte do Castanheiro já tem 11 casas requalificadas,habitação,habitação,habitação,habitação,infraestruturas,habitação,habitação,habitação,habitação
117177763,Câmara constrói 40 habitações a custo acessível na Fonte dos Mouros,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
118362103,HABITAÇÃO - OBRAS NO ANTIGO POSTO A GNR JÁ ARRANCARAM,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
119501765,644 casas destinadas à renda reduzida,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
119217419,Novas medidas para Habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
118128845,Câmara de Mira tenta construir habitações a custos controlados,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação,habitação
119914542,Estado: 200 milhões em impostos por dia,impostos,impostos,impostos,impostos,impostos,impostos,economia,economia,impostos
119536445,"OE2026: Receita fiscal deve subir 4,4% impulsionada por impostos diretos e indiretos",impostos,impostos,impostos,impostos,impostos,impostos,economia,economia,economia
118002166,Carga fiscal subiu em 2024 impulsionada por impostos indiretos e contribuições sociais,impostos,impostos,impostos,impostos,impostos,impostos,economia,economia,impostos
119536229,"OE2026: Receita com impostos indiretos sobe 4,9% e Governo quer reverter desconto sobre os combustíveis",impostos,impostos,impostos,impostos,impostos,desconhecido,economia,economia,economia
119535030,Receita fiscal em 2026,impostos,impostos,impostos,impostos,impostos,habitação,economia,economia,economia
119951234,"Política fiscal longe de garantir uma ""justa tributação dos rendimentos""",impostos,impostos,impostos,impostos,impostos,território,impostos,impostos,economia
119290681,"Cooperação entre autoridades fiscais reforça ""deteção precoce"" de evasão",impostos,impostos,impostos,impostos,impostos,defesa,administração publica,administração publica,impostos
119463480,Receitas do imposto predial disparam,impostos,impostos,impostos,impostos,impostos,desconhecido,impostos,economia,impostos
117771465,"Do IRS ao IRC, medidas do Governo dão mais de EUR2 mil milhões em ""bónus"" fiscais em 2024 e 2025",impostos,impostos,impostos,impostos,impostos,economia,economia,economia,impostos
119608747,Tributação em IRS,impostos,impostos,impostos,impostos,proteção social,administração publica,impostos,impostos,impostos
119520225,Coimbra - Aposta da UC na investigação resultou já em 591 patentes científicas,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,ambiente e clima,i&d e inovação,educação e formação,i&d e inovação
116674759,"Inovação nacional recebe de EUR1,4 milhões",i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,cultura,i&d e inovação,i&d e inovação,i&d e inovação
118207874,Mega centro de biotecnologia no Parque Tecnológico,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,economia,i&d e inovação
117617992,Politécnico de Coimbra obtém nova patente europeia para otimizar indústria corticeira,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,cultura,economia,economia,i&d e inovação
117448283,FELGUEIRAS - Nova incubadora tam´techvalley dinamiza ecossistema tecnológico no Tâmega e Sousa,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,desconhecido,administração publica,economia,i&d e inovação
118975822,Startup  oficial  AGILidades aposta na internacionalização e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,cultura,i&d e inovação,economia,i&d e inovação
117862804,"Cinco investigadores contemplados com bolsas de 5 mil euros nas áreas da energia, IA e têxtil - Famalicão premeia investigação para reforçar a inovação empresarial",i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,energia,i&d e inovação,economia,i&d e inovação
119080737,EMPRESAS - Portilame aposta em nova área de Inovação e I&D,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,cultura,i&d e inovação,economia,economia
119186072,Coimbra Tech Challenge aposta na inovação e no talento internacional,i&d e inovação,relações internacionais,i&d e inovação,i&d e inovação,i&d e inovação,cultura,i&d e inovação,economia,i&d e inovação
119950007,Autarca de Guimarães quer território transformado em  laboratório vivo  de inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,i&d e inovação,desconhecido,i&d e inovação,educação e formação,i&d e inovação
119168648,TRIBUNAL DECIDE LEVAR RUI MARQUES A JULGAMENTO,justiça,justiça,justiça,justiça,infraestruturas,justiça,justiça,justiça,justiça
118901517,"BES, Marquês, Odair Moniz (e mais). Justiça regressa com casos mediáticos",justiça,justiça,justiça,justiça,justiça,justiça,justiça,justiça,justiça
119846767,Crise nos tribunais,justiça,justiça,justiça,justiça,justiça,transportes,administração publica,justiça,justiça
119851178,"""Caos instalado"" na Justiça: magistrados não conseguem aceder a processos há mais de uma semana",justiça,justiça,justiça,justiça,justiça,justiça,justiça,justiça,justiça
118148202,Parlamento aprova violação como crime público,justiça,justiça,justiça,justiça,segurança,defesa,justiça,justiça,justiça
117706894,Governo quer criar novo tribunal de respostas rápidas,justiça,administração publica,justiça,administração publica,administração publica,cultura,administração publica,justiça,justiça
119677366,Governo quer retirar poderes ao Tribunal de Contas - Análise,justiça,justiça,justiça,administração publica,justiça,justiça,administração publica,administração publica,administração publica
118104562,Ministra garante que sentença para garantir acessibilidades em tribunais de Leiria vai ser cumprida,justiça,justiça,justiça,justiça,justiça,justiça,justiça,justiça,justiça
118976449,COMARCA DE SETÚBAL - Ano judicial arranca com défice de oficiais de justiça e pedidos ao Governo,justiça,justiça,justiça,justiça,justiça,cultura,administração publica,justiça,justiça
119955773,"Erros na migração dos tribunais administrativos ""estão a ser resolvidos""",justiça,justiça,justiça,justiça,justiça,cultura,administração publica,justiça,justiça
118992163,LUZ VERDE PARA 80 PROJECTOS DE APOIO AO SECTOR DAS PESCAS,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas
117975334,PROFISSIONAIS DA PESCA SERÃO COMPENSADOS POR PREJUÍZOS,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,administração publica,mar e pescas,mar e pescas
119558519,RENOVAÇÃO DA FROTA DO PEIXE-ESPADA-PRETO SÓ CONVENCE TRÊS ARMADORES,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas
118274301,"Falta de dados é ""risco"" para classificação dos stocks de pesca",mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,saúde,ambiente e clima,ambiente e clima,mar e pescas
116930532,Elevada diversidade de empresas açorianas com actividades dependentes do mar,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,desconhecido,economia,economia,mar e pescas
117418263,AÇORES E MADEIRA ACERTAM POSIÇÕES PARA OBTER REFORÇO DE FUNDOS EUROPEUS PARA AS PESCAS,mar e pescas,território,mar e pescas,território,território,mar e pescas,mar e pescas,mar e pescas,mar e pescas
118793129,Seaculture investe 10 milhões de euros em Vila Real de Santo António e reforça a aquacultura nacional,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,cultura,administração publica,economia,agricultura e floresta
117507037,"Canelete, Porto de Pesca Costeira e Porto de Pesca de Largo - Porto de Aveiro deu início a dragagens de manutenção",mar e pescas,mar e pescas,mar e pescas,infraestruturas,infraestruturas,desconhecido,administração publica,transportes,transportes
117688003,Ministra do Ambiente promete compensar pescadores da futura área marinha protegida de Cascais,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,ambiente e clima,ambiente e clima,ambiente e clima,mar e pescas
118093100,ENTREVISTA - Apropesca é porto de abrigo dos pescadores diz presidente Carlos Cruz,mar e pescas,mar e pescas,mar e pescas,mar e pescas,mar e pescas,ambiente e clima,administração publica,economia,mar e pescas
119017291,CM REVELA LISTA - Estado atribui 70 subsídios diferentes,proteção social,proteção social,proteção social,proteção social,proteção social,segurança,segurança,proteção social,economia
119857754,Mais dinheiro para trabalhadores e pensionistas: Governo revela planos da Segurança Social para 2026,proteção social,proteção social,proteção social,proteção social,proteção social,segurança,administração publica,administração publica,trabalho
119061709,"Menos beneficiários com apoios, mas mais subsídios de desemprego em 23/24",proteção social,proteção social,proteção social,proteção social,proteção social,proteção social,proteção social,proteção social,segurança
117693075,"Apoios sociais: prestação de incentivo ao trabalho e ""obrigações de solidariedade"" no RSI",proteção social,proteção social,proteção social,proteção social,proteção social,cultura,administração publica,administração publica,economia
119559206,Nem todos os apoios sociais vão subir em 2026: veja quem ganha e quem fica de fora dos aumentos do Governo,proteção social,proteção social,proteção social,proteção social,proteção social,desconhecido,administração publica,proteção social,economia
119569896,Atenção pensionistas: pensões acima deste valor estão excluídas do Complemento Solidário para Idosos em 2026,proteção social,proteção social,proteção social,proteção social,proteção social,defesa,saúde,proteção social,saúde
118268624,Como vai funcionar o bónus das pensões?,proteção social,proteção social,proteção social,proteção social,proteção social,segurança,economia,administração publica,saúde
118001138,SEGURANÇA SOCIAL - DESPESA COM PENSÕES AUMENTOU 13% EM 2024,proteção social,proteção social,proteção social,proteção social,proteção social,segurança,segurança,proteção social,segurança
119614679,Governo vai reforçar cruzamento de dados entre as Finanças e a Segurança Social,proteção social,proteção social,proteção social,proteção social,proteção social,segurança,administração publica,administração publica,segurança
117766410,SOCIAL - Inclusão com derrame de 84 ME,proteção social,desigualdades,proteção social,proteção social,proteção social,proteção social,proteção social,proteção social,proteção social
119258353,13H13 - Médicos alertam para vacinação sazonal,saúde,saúde,saúde,saúde,agricultura e floresta,desconhecido,saúde,saúde,saúde
119410587,Vacinómetro® revela avanços na cobertura vacinal contra a gripe em Portugal,saúde,saúde,saúde,saúde,saúde,desconhecido,saúde,saúde,saúde
119501840,O que está à espera para se vacinar?,saúde,saúde,saúde,saúde,agricultura e floresta,desconhecido,saúde,saúde,saúde
119823456,SAÚDE - Medicina de Emergência forma em 22 áreas clínicas,saúde,saúde,saúde,saúde,saúde,saúde,saúde,saúde,saúde
119785362,Doentes poderão seguir lista de espera e escolher hospital,saúde,saúde,administração publica,saúde,saúde,saúde,saúde,saúde,saúde
119814395,Novo sistema de acesso a consultas e cirurgias vai permitir ao doente escolher o hospital 69,saúde,saúde,saúde,saúde,saúde,desconhecido,saúde,saúde,saúde
119114046,Médicos alertam para a carência de profissionais em Coimbra,saúde,saúde,saúde,saúde,saúde,saúde,saúde,saúde,saúde
119409021,Médicos reclamam obra urgente no Centro de Saúde,saúde,saúde,saúde,saúde,saúde,território,saúde,saúde,saúde
119628903,"USF alerta para riscos de ""falhas recorrentes"" no sistema de vacinação",saúde,saúde,saúde,saúde,saúde,desconhecido,saúde,saúde,saúde
116435101,PROCESSO DE AVALIAÇÃO DE MEDICAMENTOS MAIS ÁGIL,saúde,saúde,i&d e inovação,i&d e inovação,i&d e inovação,território,economia,saúde,saúde
119229913,Ainda há esquadras da PSP e postos da GNR sem salas de atendimento à vítima,segurança,segurança,segurança,segurança,segurança,administração publica,administração publica,segurança,segurança
116729348,Lei que agrava penas para quem agredir polícias entra hoje em vigor,segurança,segurança,justiça,justiça,segurança,agricultura e floresta,justiça,justiça,segurança
117992954,"Estão a ser retirados agentes de esquadras já  desfalcadas  para a  polícia de fronteiras , diz sindicato",segurança,segurança,segurança,defesa,defesa,saúde,administração publica,segurança,justiça
119258262,"Paulo Pires, coordenador regional da Associação Sindical dos Profissionais da Polícia - Polícias estão a perder direitos, desde folgas à pré-aposentação, e  quando há ocorrências de maior gravidade, os poucos agentes de serviço têm de sair e deixar a esquadra fechada",segurança,trabalho,trabalho,segurança,trabalho,desconhecido,administração publica,segurança,segurança
118186517,"SEGURANÇA - Mais esquadras não significam mais segurança, avisa PSP",segurança,segurança,segurança,segurança,segurança,segurança,segurança,segurança,segurança
118151421,Polícia no Hospital de Leiria,segurança,saúde,saúde,saúde,saúde,desconhecido,segurança,segurança,segurança
